BR,En,Hun
acontecer,to happen,megtörténni
criança,child,gyermek
dormir,to sleep,aludni
durante,during,alatt
possa,be likely to,valószínűleg
desse,of that,ebből
vindo,coming,eljövetel
certa,certain,bizonyos
café,coffee,kávé
possível,possible,lehetséges
casamento,marriage,házasság
irá,will,akarat
acordo,agreement,megegyezés
quis,wanted,vágyó
equipe,team,csapat
conheço,I know,Tudom
ruim,bad,rossz
culpa,fault,hiba
jantar,to have lunch,ebédelni
provavelmente,probably,valószínűleg
consegue,it achieves,Eléri
telefone,telephone,telefon
esteja,is,az
mil,thousand,ezer
i,I,én
forte,strong,erős
sentir,to feel,érezni
viver,to live,élni
chegou,it arrived,megérkezett
diferente,different,különböző
sozinho,alone,egyedül
prazer,pleasure,öröm
pergunta,question,kérdés
procurando,looking for,keresni
iria,I would go,én is megyek
terá,will have,lesz
conseguiu,it achieved,elérte
outras,others,mások
final,Final,Végső
minuto,minute,perc
sala,living room,nappali
chega,he arrives,megérkezik
único,single,egyetlen
nossas,our,a miénk
falta,lack,hiány
desta,of this,ebből
aquilo,that one,azt
incrível,incredible,hihetetlen
devemos,we must,nekünk kell
direito,right,jobb
nessa,in that,abban
vivo,alive,élő
mudar,to change,változtatni
faria,would make,csinálná
porra,Cum,Cum
perder,lose,elveszít
falou,he spoke,beszélt
segurança,security,Biztonság
pagar,pay,fizetés
plano,flat,lakás
descobrir,discover,felfedez
conversar,to talk,beszélni
achar,to think,gondolkozni
próxima,next,következő
sabem,They know,Tudják
comida,food,étel
pegue,take it,vedd el
diabos,hell,pokol
trás,back,vissza
jovem,young,fiatal
trouxe,he brought,ő hozta
acreditar,to believe,hinni
olhar,to look,nézni
cama,bed,ágy
ponto,point,pont
passado,past,múlt
pena,pity,kár
colocar,to place,a hely
tchau,goodbye,viszontlátásra
nesse,in that,abban
fale,speak,beszél
ouça,listen,hallgat
nele,in him,benne
calma,calm,nyugodt
filme,film,film
pedir,ask,kérdez
paz,peace,béke
sente,feel,érez
louco,crazy,őrült
palavra,word,szó
cá,here,itt
pequeno,small,kicsi
john,John,János
caras,faces,arcok
ouviu,he heard,hallotta
próximo,next,következő
médico,doctor,orvos
pensa,thought,gondolat
ligar,to connect,kapcsolódni
pior,worse,rosszabb
força,strength,erő
mostrar,Show,Előadás
país,country,ország
acontece,it happens,megtörténik
fogo,fire,Tűz
entende,he understands,megérti
baixo,low,alacsony
sob,under,alatt
acabar,to finish,befejezni
continuar,Continue,Folytatni
estiver,you are,te vagy
lembro,I remember,emlékszem
dizem,They say,Azt mondják
srta,MS,KISASSZONY
vendo,seeing,látás
luz,light,fény
jogar,to play,játszani
livro,book,könyv
adeus,goodbye,viszontlátásra
perguntar,to ask,kérdezni
existe,exist,létezik
manter,to maintain,karbantartani
fazem,do,csinál
cedo,early,korai
querer,to want,akarni
desculpa,sorry,sajnálom
jack,jack,Jack
semanas,weeks,hetek
vim,I came,jöttem
estes,these,ezek
começou,it started,elkezdődött
hospital,hospital,kórház
atenção,attention,Figyelem
seis,six,hat
linda,beautiful,gyönyörű
último,last,utolsó
chamar,to call,hívni
escritório,desk,asztal
rei,king,király
falei,I spoke,beszéltem
estávamos,we were,voltunk
especial,Special,Különleges
comprar,purchase,Vásárlás
após,after,után
resto,rest,pihenés
fiquei,I was left,Megmaradtam
alô,hello,Helló
saiu,it went out,kiment
ganhar,to win,nyerni
controle,control,ellenőrzés
fico,I am,Én vagyok
brincando,joking,viccelődés
volte,come back,Gyere vissza
si,si,SI
nesta,in this,ebben
garotas,girls,lányok
queremos,we want,mi akarunk
presidente,chairman,elnök
pegou,he picked up,felvette
real,real,igazi
devem,must,kell
aonde,to where,hova
precisar,to need,szükséges
negócio,business,üzleti
doutor,doctor,orvos
esteve,was,volt
encontro,meeting,találkozó
pelos,by the,valami által
escute,Listen,Hallgat
finalmente,finally,végül
estado,state,állapot
pé,foot,láb
cuidar,to care,gondoskodni
ama,love,szerelem
armas,weapon,fegyver
rua,road,út
sam,sam,SAM
aqueles,those ones,azok
umas,some,néhány
dólares,dollars,dollár
fato,fact,tény
sentido,sense,érzék
pequena,small,kicsi
prisão,prison,börtön
casar,to marry,házasodni
trabalhando,working,dolgozó
escolha,choice,választás
puta,bitch,kurva
amiga,friend,barát
sozinha,alone,egyedül
próprio,own,saját
cabelo,hair,haj
deste,of this,ebből
estivesse,it was,ez volt
engraçado,funny,vicces
policial,police officer,rendőr
ai,there,ott
perfeito,perfect,tökéletes
passou,it happened,ez történt
alto,high,magas
palavras,words,szavak
livre,free,ingyenes
mente,mind,ész
s,s,S
seguro,safe,biztonságos
menina,girl,lány
própria,own,saját
bonito,beautiful,gyönyörű
futuro,future,jövő
pro,pro,profi
entendi,I understood,értettem
esqueça,forget,elfelejt
respeito,respect,tisztelet
tio,uncle,nagybácsi
entender,to understand,megérteni
uh,uh,uh
estará,will be,lesz
visto,visa,Vízum
estas,these,ezek
agente,agent,ügynök
sinal,signal,jel
grupo,group,csoport
andar,to walk,járni
presente,gift,ajándék
milhões,millions,milliók
rosto,face,arc
mesa,table,asztal
dor,pain,fájdalom
foto,Photograph,Fénykép
preso,stuck,megragadt
leve,light,fény
partir,leave,elhagy
consegui,I achieved,Elértem
sexo,sex,szex
voz,voice,hang
assassino,assassin,orgyilkos
pense,think,gondol
chamado,called,hívott
daí,so,így
sai,leaves,levelek
pediu,he requested,kérte
jesus,Jesus,Jézus
situação,situation,helyzet
olhando,looking,kinézetű
perdeu,it lost,Elveszett
you,you,te
ar,air,levegő
tom,tone,hangzás
voltou,it returned,visszatért
grandes,big ones,nagyok
modo,mode,mód
viagem,trip,utazás
sistema,system,rendszer
rapazes,boys,fiúk
simples,simple,egyszerű
linha,line,vonal
achou,he thought,azt gondolta
entendeu,did you understand,értetted
estive,I have been,voltam
salvar,to save,menteni
boas,good,jó
conhecer,to know,tudni
estaria,it would be,lenne
emprego,job,munka
chama,flame,láng
bonita,beautiful,gyönyörű
conosco,with us,velünk
melhores,best,legjobb
dez,ten,tíz
mensagem,message,üzenet
michael,Michael,Michael
contou,said,mondott
idade,age,kor
crime,crime,bűn
questão,question,kérdés
trazer,to bring,hozni
usando,using,felhasználás
local,local,helyi
simplesmente,simply,egyszerűen
lindo,beautiful,gyönyörű
tente,try,próbáld ki
encontrei,I found,találtam
ficará,will be,lesz
acredita,belief,hit
levou,he took,elvette
precisam,need,szükség
farei,I will do,megteszem
doente,sick,beteg
natal,Christmas,Karácsony
professor,teacher,tanár
odeio,I hate,utálom
rapaz,boy,fiú
motivo,reason,ok
disseram,They said,Azt mondták
fizeram,made,készült
seguir,follow,kövesse
ótima,excellent,kiváló
programa,program,program
campo,field,terület
normal,normal,Normál
continue,continues,folytatja
vontade,willing,hajlandó
graças,grace,kegyelem
menino,boy,fiú
chão,floor,padló
sol,Sun,Nap
hey,hey,Hé
soube,knew,tudta
acabei,I finished,befejeztem
perguntas,questions,kérdés
surpresa,surprise,meglepetés
lista,list,lista
sonho,dream,álom
olho,eye,szem
terminar,finish,Befejez
irei,I will go,menni fogok
resposta,response,válasz
beber,to drink,inni
ordem,order,rendelés
encontrou,it found,Megtalálta
senhores,sirs,urak
peguei,I got,kaptam
hotel,Hotel,Szálloda
caixa,box,doboz
quente,warm,meleg
povo,people,emberek
acidente,accident,baleset
erro,error,hiba
precisava,needed,szükséges
diria,would say,mondanám
advogado,attorney,ügyvéd
us,US,MINKET
mortos,dead,halott
aniversário,birthday,születésnap
joe,Joe,Joe
inferno,hell,pokol
ataque,attack,támadás
david,David,Dávid
charlie,Charlie,Charlie
vale,OK,rendben
frank,Frank,Őszinte
fotos,Photos,Fotó
show,show,előadás
abrir,Open,Nyisd ki
parabéns,congratulations,Gratulálunk
fome,hunger,éhség
voce,you,te
tiver,have,van
ficando,staying,tartózkodás
totalmente,totally,teljesen
morta,dead,halott
loja,store,bolt
naquela,at that,abban az
energia,energy,energia
conversa,conversation,beszélgetés
pelas,by,által
espaço,space,hely
serviço,service,szolgáltatás
monte,hill,hegy
assassinato,murder,gyilkosság
lei,law,törvény
negócios,business,üzleti
banco,Bank,Bank
reunião,meeting,találkozó
estarei,I will be,leszek
completamente,completely,teljesen
george,George,György
divertido,funny,vicces
ligou,CALLED,HÍVOTT
segunda,second,második
perdi,I lost,vesztettem
fundo,bottom,alsó
lutar,to fight,harcolni
pudesse,could,tudott
explicar,explain,elmagyaráz
fomos,we were,voltunk
tome,take,vesz
notícias,News,hírek
céu,sky,ég
trabalha,it works,működik
exército,army,hadsereg
mês,month,hónap
mike,Mike,Mikrofon
parecia,it,azt
passa,raisin,mazsola
fará,will make,teszi
continua,to be continued,folytatjuk
dei,Dei,Dei
tire,remove,eltávolítás
olhada,look,néz
tivemos,we had,nekünk volt
carta,Letter,Levél
lembrar,to remember,emlékezni
roupas,clothes,ruhák
contato,contact,kapcsolatba lépni
detetive,detective,nyomozó
passada,last,utolsó
fizemos,We did,Megcsináltuk
papel,paper,papír
área,area,terület
governo,government,kormány
abra,open it,nyisd ki
interessante,interesting,érdekes
horrível,horrible,szörnyű
luta,fight,harc
ben,Ben,Ben
dando,giving,adás
beleza,beauty,szépség
certamente,Certainly,Biztosan
apartamento,apartment,lakás
banheiro,bathroom,fürdőszoba
mudou,changed,megváltozott
capaz,able,képes
metade,half,fél
penso,perse,begy
funciona,it works,működik
tentei,I tried,megpróbáltam
procurar,to search for,keresni valamit
tradução,translation,fordítás
velha,old,régi
triste,sad,szomorú
prometo,promise,ígéret
prova,proof,bizonyíték
barco,boat,hajó
bons,Good,Jó
tentou,tried,megpróbálta
hein,huh,Hát
quantos,how many,mennyi
senti,feeling,érzés
decisão,decision,döntés
tenente,lieutenant,hadnagy
bebida,drink,ital
teremos,we will have,nekünk lesz
tv,TV,tévé
através,through,keresztül
conselho,advice,tanács
avião,plane,repülőgép
juro,interest,érdeklődés
saindo,leaving,kilépő
ler,to read,olvasni
nela,in it,benne
tocar,touch,érintés
breve,short,rövid
pronta,ready,kész
ligue,call,hívás
frio,cold,hideg
bar,Pub,Kocsma
anda,ride,lovagol
missão,mission,küldetés
chave,key,kulcs
lamento,am sorry,Sajnálom
tinham,had,volt
impossível,impossible,lehetetlen
peça,part,rész
igreja,church,templom
namorado,boyfriend,fiú barát
terrível,terrible,szörnyű
maravilhoso,wonderful,csodálatos
namorada,girlfriend,barátnő
haver,be,lenni
maioria,majority,többség
tendo,having,ha
segredo,secret,titok
leva,he takes,elveszi
verdadeiro,TRUE,IGAZ
viva,alive,élő
naquele,in that,abban
saiba,know,tud
roupa,clothing,ruházat
sete,seven,hét
vítima,victim,áldozat
drogas,drug,drog
nave,nave,templomhajó
assunto,subject,tantárgy
mandou,Manda,Manda
imediatamente,immediately,azonnal
diferentes,many different,sok különböző
ajude,help,Segítség
cair,to fall,esni
tu,you,te
fazemos,We do,Mi csináljuk
ouro,gold,Arany
loucura,craziness,őrület
time,team,csapat
vidas,lives,élet
pobre,poor,szegény
ouvindo,listening,hallgatás
mar,sea,tenger
né,huh,Hát
faremos,we will do,megcsináljuk
puder,can,tud
vista,View,Kilátás
começa,start,Rajt
alma,soul,lélek
aposto,bet,tét
desses,of these,Ezeknek a
fazia,made,készült
paul,Paul,Pál
general,general,Tábornok
mestre,teacher,tanár
adoro,I adore,imádom
senhorita,miss,hiányzik
celular,cell phone,mobiltelefon
oficial,official,hivatalos
cavalo,horse,ló
companhia,company,vállalat
somente,only,csak
esquecer,to forget,elfelejteni
james,James,James
peter,peter,Péter
parecer,seem,látszik
serão,will be,lesz
padre,priest,pap
começo,start,Rajt
louca,crazy,őrült
buscar,search,keresés
esperava,expected,várt
mau,bad,rossz
dito,said,mondott
centro,center,központ
época,era,korszak
estrada,road,út
carne,meat,hús
vestido,dress,ruha
posição,position,pozíció
cheio,full,teljes
fugir,to escape,menekülni
meninas,girls,lányok
teste,test,teszt
entrou,came in,bejött
maldito,damn you,cseszd meg
chamada,call,hívás
ligação,connection,kapcsolat
saúde,health,Egészség
diferença,difference,különbség
junto,together,együtt
planeta,planet,bolygó
duro,hard,kemény
passo,step,lépés
bela,lovely,bájos
teu,your,a te
proteger,protect,véd
longo,far away,messze
cachorro,puppy,kölyökkutya
chegando,arriving,érkező
embaixo,below,lent
coloque,place,hely
max,Max,Maximum
delas,from them,tőlük
guarda,guard,őr
escrever,to write,írni
conheci,I knew,tudtam
cliente,client,ügyfél
igual,equal,egyenlő
mandar,to send,küldeni
bater,to knock,kopogtatni
falo,I talk,beszélek
pensou,he thought,azt gondolta
basta,enough,elég
gostei,I liked,kedveltem
encontramos,we find,találunk
porquê,why,miért
costas,back,vissza
provar,to test,tesztelni
segundos,second,második
lugares,places,hely
esquerda,left,bal
ambos,both,mindkét
coronel,colonel,ezredes
chame,cum,cum
pés,feet,láb
direita,right,jobb
acredite,believe,hinni
aprender,learn,tanul
correr,run,fuss
empresa,company,vállalat
dessas,of these,Ezeknek a
últimos,last,utolsó
cérebro,brain,agy
informação,information,információ
perigo,danger,veszély
bola,ball,labda
acham,They find,Megtalálták
relação,relationship,kapcsolat
doce,sweet,édes
desculpas,sorry,sajnálom
garotos,boys,fiúk
destino,destiny,sors
sentindo,feeling,érzés
deixei,I left,Otthagytam
branco,white,fehér
quais,which,melyik
gostar,to like,kedvelni
cerca,fence,kerítés
cerveja,beer,sör
resolver,solve,megold
serei,Will be,Lesz
regras,rules,szabályok
cena,scene,színhely
creio,I believe,Hiszek
norte,north,északi
público,public,nyilvános
caiu,it fell,Elesett
sentar,to sit,ülni
tiro,shot,lövés
oportunidade,opportunity,lehetőség
to,to,nak nek
cozinha,kitchen,konyha
ficaria,would stay,maradna
tia,aunt,néni
inteligente,intelligent,intelligens
poderíamos,we could,tudnánk
toque,touch,érintés
propósito,purpose,célja
chá,tea,tea
várias,several,számos
base,base,bázis
york,York,York
faculdade,faculty,oktatók
humano,human,emberi
graça,grace,kegyelem
ordens,orders,megrendelés
lidar,to lead,vezetni
direto,direct,közvetlen
sul,south,déli
comandante,commander,parancsnok
cantar,sing,énekel
henry,Henry,Henrik
honra,honor,becsület
and,and,és
trem,train,vonat
ação,action,akció
importo,import,behozatal
senhoras,ladies,hölgyek
prontos,ready,kész
depressa,quickly,gyorsan
direção,direction,irány
perigoso,dangerous,veszélyes
confiar,trust,bizalom
sargento,sergeant,őrmester
existem,they exist,léteznek
oito,eight,nyolc
animais,animals,állatok
cheiro,smell,szag
experiência,experience,tapasztalat
clube,club,klub
mary,Mary,Mária
queira,want,akar
volto,back,vissza
sonhos,dreams,álmok
esqueci,I forgot,elfelejtettem
estúpido,Stupid,Hülye
justo,fair,becsületes
janela,window,ablak
rio,river,folyó
corte,cut,vágott
saco,bag,táska
sucesso,success,siker
quantas,how many,mennyi
lixo,trash,szemét
desejo,desire,vágy
aceitar,to accept,elfogadni
pedi,I asked,megkérdeztem
deveríamos,we should,nekünk kellene
quão,how,hogyan
escuta,listening,hallgatás
vinho,wine,bor
necessário,necessary,szükséges
terei,I will have,fogok
preocupado,concerned,aggasztó
saída,exit,kijárat
dançar,to dance,táncolni
poderá,may,lehet
rainha,queen,királynő
comum,common,gyakori
liberdade,freedom,szabadság
pega,handle,fogantyú
entendido,understood,megértett
disto,of this,ebből
tempos,times,idő
tanta,so much,olyan sok
dormindo,sleeping,alvás
tribunal,court,bíróság
chamou,called,hívott
verão,summer,nyár
repente,suddenly,hirtelen
tua,your,a te
steve,Steve,Steve
parecem,they look,néznek
vender,sell,elad
belo,beautiful,gyönyörű
máquina,machine,gép
silêncio,silence,csend
tínhamos,We had,Nekünk volt
informações,information,információ
receber,to receive,kapni
meia,half,fél
passei,I passed,átmentem
mentira,lie,fekszik
paris,Paris,Párizs
exemplo,example,példa
contrário,contrary,ellentétes
raiva,anger,harag
aula,classroom,tanterem
conseguimos,we achieved,Elértünk
ora,now,Most
socorro,help,Segítség
la,there,ott
lhes,them,őket
liga,turns on,bekapcsol
escolher,to choose,választani
tornar,become,válik
cadê,where,ahol
humanos,humans,emberek
ligo,call,hívás
preocupar,concern,vonatkozik
dou,DOU,Megegyezik
venham,come,jön
uau,wow,Azta
atirar,shoot,lő
azul,blue,kék
lua,moon,hold
pressão,pressure,nyomás
série,series,sorozat
perdido,lost,elveszett
jamais,never,soha
vermelho,red,piros
exceto,except,kivéve
colocou,put,elhelyez
legenda,subtitle,felirat
inteiro,whole,egész
comando,command,parancs
harry,Harry,Harry
cartão,card,kártya
paciente,patient,beteg
diretor,director,rendező
esperança,hope,remény
ilha,island,sziget
câmera,camera,kamera
notícia,news,hírek
errada,wrong,rossz
sarah,Sarah,Sára
danny,Danny,Danny
revisão,revision,felülvizsgálat
devagar,slowly,lassan
parem,stop,állj meg
achamos,We found,Megtaláltuk
banho,bath,fürdőkád
américa,America,Amerika
traga,bring on,felhoz
conte,count,számol
bolsa,handbag,kézitáska
usa,user,felhasználó
excelente,great,nagy
andando,walking,séta
alta,high,magas
jimmy,Jimmy,Jimmy
bob,Bob,Bob
aquelas,those,azok
bomba,bomb,bomba
adam,Adam,Ádám
preço,price,ár
iremos,we will,mi fogunk
alex,Alex,Alex
vive,vive,kifogásol
esconder,to hide,elbújni
jim,Jim,Jim
arte,art,Művészet
começando,starting,indulás
jovens,young people,fiatalok
passando,passing,elhaladó
t,T,T
ocupado,busy,elfoglalt
bill,Bill,Számla
jane,jane,Jane
pedido,order,rendelés
cão,dog,kutya
sequer,even,még
parceiro,partner,partner
suspeito,suspect,gyanúsított
pele,skin,bőr
nível,level,szint
opinião,opinion,vélemény
pista,track,nyomon követni
emergência,emergency,vészhelyzet
computador,computer,számítógép
seguinte,Following,Következő
planos,plans,tervek
policiais,cops,zsaruk
irmãos,brothers,testvérek
daquele,of that,ebből
ônibus,bus,busz
batalha,battle,csata
nick,nick,bukás
rádio,radio,rádió
acaba,ends,véget ér
